step_id,step_name,process_area,description,owner_role,volume_share,avg_handle_time_min,avg_first_response_hrs,avg_resolution_hrs,avg_csat,volume,automation_candidate
S01,Refund request,Billing,Customer requests refund for product or service,L1 Agent,0.068,30,4.0,24.0,3.0,576,Assist
S02,Software bug,Technical,Customer reports software malfunction or error,L2 Agent,0.068,35,4.5,28.0,3.1,574,Assist
S03,Product compatibility,Product,Customer asks about product compatibility,L1 Agent,0.067,15,3.0,12.0,3.2,567,Partial
S04,Delivery problem,Logistics,Customer reports delivery issue or missing package,L1 Agent,0.066,20,3.5,18.0,3.0,561,Partial
S05,Hardware issue,Technical,Customer reports hardware malfunction,L2 Agent,0.065,40,5.0,32.0,2.9,547,Assist
S06,Battery life,Technical,Customer reports battery performance issues,L1 Agent,0.064,18,3.0,14.0,3.3,542,Partial
S07,Network problem,Technical,Customer reports connectivity or network issues,L1 Agent,0.064,22,3.5,16.0,3.2,539,Partial
S08,Installation support,Technical,Customer needs help installing product,L1 Agent,0.063,20,3.0,15.0,3.4,530,Partial
S09,Product setup,Technical,Customer needs help with initial product setup,L1 Agent,0.062,15,2.5,10.0,3.5,529,Full
S10,Payment issue,Billing,Customer reports payment processing problem,L1 Agent,0.062,25,4.0,20.0,3.0,526,Partial
S11,Product recommendation,Sales,Customer asks for product suggestions,L1 Agent,0.061,12,2.0,8.0,3.6,517,Full
S12,Account access,Account,Customer cannot access their account,L1 Agent,0.06,10,2.0,6.0,3.4,509,Full
S13,Peripheral compatibility,Product,Customer asks about accessory compatibility,L1 Agent,0.059,15,3.0,12.0,3.3,496,Partial
S14,Data loss,Technical,Customer reports data loss or corruption,L2 Agent,0.058,45,6.0,40.0,2.5,491,Assist
S15,Cancellation request,Billing,Customer wants to cancel service or subscription,L1 Agent,0.058,20,3.5,15.0,2.8,487,Assist
S16,Display issue,Technical,Customer reports screen or display problems,L1 Agent,0.056,25,4.0,20.0,3.1,478,Partial
